usuario,texto,entidade_mencionada,score_sentimento
a9d36446-c85c-43d3-bccf-8084d2231951,apresentação de ia muito boa,Palestras,0.4588
03164614-b683-45b1-98f0-7179e65cd4ed,queria mais atenção do fotógrafo,Secom,-0.34
03164614-b683-45b1-98f0-7179e65cd4ed,queria mais atenção do fotógrafo,Fotografo,-0.34
7d582411-e617-4105-8edf-bca7ee066eca,gostei dos temas das palestras,Secom,0.4215
7d582411-e617-4105-8edf-bca7ee066eca,gostei dos temas das palestras,Palestras,0.4215
43aca24c-d788-497e-8521-06df728eeaf8,animado pra gamejam,Gamejam,0.4404
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Secom,-0.128
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Etica,-0.128
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Valorant,-0.128
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Espera,-0.128
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,a nova interface,Interface,0.0
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Secom,0.6705
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Programacao,0.6705
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Mobi,0.6705
37ec55d9-b848-47bd-9a33-f64afd2dd867,mto bom,Mto,0.4588
5bc436a4-ec67-4216-87a7-d9152877d21f,adorei a palestra,Palestras,0.0
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,seria legal se tivesse uma aba pra ver todos os comentários  :(,Secom,-0.34
e2b6d403-470e-4752-8767-48575bb10c67,seria bom ter a opção de ler todos os comentários,Opcao,0.4588
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,",Secom,0.1531
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,",Etica,0.1531
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,",Curso,0.1531
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,",Palestras,0.1531
66333d64-e1a9-407d-b5ec-e97640fc0bfc,também pra sociedade,Pessoas,0.0
43aca24c-d788-497e-8521-06df728eeaf8,coffee break de respeito viu,Break,0.3182
43aca24c-d788-497e-8521-06df728eeaf8,coffee break de respeito viu,Respeito,0.3182
8b532002-32a9-47b8-a068-f68ebed037cd,o auditório tá meio frio,Frio,0.0
8b532002-32a9-47b8-a068-f68ebed037cd,o auditório tá meio frio,Auditorio,0.0
8b532002-32a9-47b8-a068-f68ebed037cd,"se pá, tlg",Secom,0.0
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,animado para a próxima palestra,Palestras,0.3182
b843c3db-fc8f-45a6-8322-19b87391fa20,vamos manter o foco,Foco,0.0
b843c3db-fc8f-45a6-8322-19b87391fa20,"a ética sempre que utilizarmos ias, evitando sempre deixar que ela faça tudo por nós",Secom,-0.1027
b843c3db-fc8f-45a6-8322-19b87391fa20,"a ética sempre que utilizarmos ias, evitando sempre deixar que ela faça tudo por nós",Etica,-0.1027
2841ae4b-ef6a-4661-94a3-9777a70ec034,esse coffee break é covardia,Break,0.0
2841ae4b-ef6a-4661-94a3-9777a70ec034,esse coffee break é covardia,Coffee,0.0
2841ae4b-ef6a-4661-94a3-9777a70ec034,camisa legal,Camisa,0.128
45025e25-714c-447c-ad00-3f2880882d2b,as palestras tão boa,Palestras,0.5095
45025e25-714c-447c-ad00-3f2880882d2b,esse coffe break é covardia,Coffe,0.0
45025e25-714c-447c-ad00-3f2880882d2b,alguém sabe qual o shampoo o nacif usa,Shampoo,0.0
45025e25-714c-447c-ad00-3f2880882d2b,alguém sabe qual o shampoo o nacif usa,Nacif,0.0
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação,Trabalho,0.0
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação,Futuro,0.0
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação,Computacao,0.0
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação,Areas,0.0
32724cee-7c33-4b98-a90c-4d0203f9d84a,"qual séria a próxima geração da ia , se a de hoje é a ia genérativa",Secom,0.0
9764ca16-8169-496a-86f2-8b5413a49083,gostei muito da organização do evento,Secom,0.4215
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,adorei a organização da secom,Secom,0.0
66333d64-e1a9-407d-b5ec-e97640fc0bfc,o ar-condicionado está muito gelado,Ar-condicionado,0.0
667d742e-3fdf-457b-b63c-7a8befc9bee4,o coffee break tava muito bom,Break,0.4588
667d742e-3fdf-457b-b63c-7a8befc9bee4,o coffee break tava muito bom,Coffee,0.4588
c922b921-1305-4fe3-b76c-649887d97eb4,a palestra foi muito boa,Palestras,0.4588
c922b921-1305-4fe3-b76c-649887d97eb4,deveriam ler mais perguntas,Perguntas,0.0
667d742e-3fdf-457b-b63c-7a8befc9bee4,animado para a palestra das 14 horas,Palestras,0.3182
667d742e-3fdf-457b-b63c-7a8befc9bee4,animado para a palestra das 14 horas,Tarde,0.3182
47cacf3f-e0f2-421b-a645-5e0efd6cc615,rapaziada muito linda do mymobiconf,Myito,0.5423
0b3e0f11-e393-4fb7-9c3b-1fa8ad9b3176,palestras mt boas,Palestras,0.4588
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia um abadá do mymobconf😭😭😭😭,Secom,0.0
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia um abadá do mymobconf😭😭😭😭,Myito,0.0
9aa2b218-1ce5-4019-8e59-cefd44bc9866,vamos trojan,Trojan,0.0
d0881343-b903-4573-aee3-c821f2e201de,as palestras estão muito boas,Palestras,0.4588
91c06250-9999-4019-95bb-12b3cfebb7ca,"muito bacana ter várias pessoas que já se formaram, aqui novamente na
ufv",Pessoas,0.0
d0881343-b903-4573-aee3-c821f2e201de,ansioso para ver como vai ser a maratona,Maratona,0.2263
daac9055-17a0-4775-bb21-9c0add9d45ec,muito legal o tema da mesa redonda,Secom,0.128
daac9055-17a0-4775-bb21-9c0add9d45ec,muito legal o tema da mesa redonda,Mesa,0.128
3e72f254-acab-4aec-ad73-bf9dff9c21ad,ansiosa pela maratona,Maratona,0.0
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,gostei muito do desenvolvimento do app nesses 3 anos que conheci,App,0.4215
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,gostei muito do desenvolvimento do app nesses 3 anos que conheci,Projeto,0.4215
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,gostei muito do desenvolvimento do app nesses 3 anos que conheci,Tarde,0.4215
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Secom,0.5719
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Mercado,0.5719
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Curso,0.5719
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Trabalho,0.5719
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Mesa,0.5719
9cd6db67-067e-45e7-8db9-db3f3a10afc6,"o tema escolhido caiu direitinho, pois nós que estamos preste a formar temos essas dúvidas",Secom,-0.6908
d51c3bbb-185b-4a34-848a-607621bd7cc2,muito bom essa mesa redonda,Mesa,0.4588
bd6291a1-9381-4303-8619-d1612876e850,palestra muito educativa para entender melhor a visão de dentro do mercado de trabalho,Secom,0.5267
bd6291a1-9381-4303-8619-d1612876e850,palestra muito educativa para entender melhor a visão de dentro do mercado de trabalho,Trabalho,0.5267
bd6291a1-9381-4303-8619-d1612876e850,palestra muito educativa para entender melhor a visão de dentro do mercado de trabalho,Mercado,0.5267
98d481f0-cfc5-4976-9bfb-61e179be6958,"o ambiente do auditório está muito bom, os ar condicionados ajudaram muito para deixa fresco",Auditorio,0.5719
98d481f0-cfc5-4976-9bfb-61e179be6958,"o ambiente do auditório está muito bom, os ar condicionados ajudaram muito para deixa fresco",Ambiente,0.5719
98d481f0-cfc5-4976-9bfb-61e179be6958,"confortável, facilitando o foco nos eventos",Foco,0.5106
98d481f0-cfc5-4976-9bfb-61e179be6958,"confortável, facilitando o foco nos eventos",Eventos,0.5106
e06ffaec-3d0b-45f5-85c5-94027d692f0f,estou gostando muito das palestras,Palestras,0.0
e06ffaec-3d0b-45f5-85c5-94027d692f0f,achei a alexandra muito foda,Foda,0.6705
e06ffaec-3d0b-45f5-85c5-94027d692f0f,achei a alexandra muito foda,Alexandra,0.6705
5c812191-4a89-40c2-ad20-11d17bed69a1,"o início com o aplicativo foi complicado,",Abertura,-0.1531
5c812191-4a89-40c2-ad20-11d17bed69a1,"o início com o aplicativo foi complicado,",App,-0.1531
5c812191-4a89-40c2-ad20-11d17bed69a1,no geral foi tranquilo,Gpu,0.0516
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou",Secom,0.0
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou",Conversa,0.0
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou",Pessoas,0.0
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou",Roda,0.0
bd6291a1-9381-4303-8619-d1612876e850,importante para entender questões específicas necessárias que não tinha pensado serem importantes no mercado,Secom,-0.128
bd6291a1-9381-4303-8619-d1612876e850,importante para entender questões específicas necessárias que não tinha pensado serem importantes no mercado,Mercado,-0.128
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Mercado,0.0
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Secom,0.0
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Ex-alunos,0.0
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Palestras,0.0
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Trabalho,0.0
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Tarde,0.0
a5551753-5cda-4641-bc94-7d92707ef19c,um minicurso com soft skills seria bem interessante para uma próxima secom,Secom,0.4939
a5551753-5cda-4641-bc94-7d92707ef19c,um minicurso com soft skills seria bem interessante para uma próxima secom,Minicurso,0.4939
a5551753-5cda-4641-bc94-7d92707ef19c,um minicurso com soft skills seria bem interessante para uma próxima secom,Soft,0.4939
5bc436a4-ec67-4216-87a7-d9152877d21f,mesa redonda foi mt legal,Mesa,0.128
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,myito bo,Myito,0.0
8b532002-32a9-47b8-a068-f68ebed037cd,mudaram a temperatura,Temperatura,0.0
99899b5a-eb3d-4d67-a64f-a143f824a709,ansioso pelos próximos dias,Secom,0.3612
7064b0be-2b69-4b72-b749-c7057e244714,amei a roda de conversa,Conversa,0.6705
7064b0be-2b69-4b72-b749-c7057e244714,amei a roda de conversa,Roda,0.6705
