participante,comentário
2588a076-a47e-443c-a9f3-22057a7980f9,as palestrantes estão sempre preparadas para responder as perguntas
2588a076-a47e-443c-a9f3-22057a7980f9,dúvidas
266dfd00-4b9e-447c-910d-0deebdb32501,iniciativa muito importante
266dfd00-4b9e-447c-910d-0deebdb32501,necessária para incluir
266dfd00-4b9e-447c-910d-0deebdb32501,diversificar a área da tecnologia
fcf388a5-374c-4162-9e8a-44339d70be4a,"foi uma linda abertura do wit, espero que o projeto possa de expandir cada vez mais"
5671ae6e-ba88-4fbb-b2dd-5c0c4e65ce60,vai oi meninas
5671ae6e-ba88-4fbb-b2dd-5c0c4e65ce60,oi meninas sz tecnologia
f915d53b-56f7-4440-b578-d9bed05126be,evento lindo
70b31d7a-c046-4859-9881-10574c9611c1,esse é um evento muito importante
e6d477bf-b603-42a7-985e-ac84356103b9,pude participar de uma oficina da meninas digitais durante a snct 2022 no ifs em lagarto
e6d477bf-b603-42a7-985e-ac84356103b9,foi incrível
e6d477bf-b603-42a7-985e-ac84356103b9,esse projeto é incrível
e6d477bf-b603-42a7-985e-ac84356103b9,extremamente importante para comunidade feminina na computação
70b31d7a-c046-4859-9881-10574c9611c1,o wit é fundamental
f915d53b-56f7-4440-b578-d9bed05126be,#meninastecnologicasufmtnowit2025
10807ceb-11e8-4f81-84d2-84b264bbd0c2,"adorei a palestra da michelle wangham, muito inspiradora"
10807ceb-11e8-4f81-84d2-84b264bbd0c2,deixou uma bonita mensagem de não desistir dos sonhos
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,evento maravilhoso
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,fundamental
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,#witcsbc2025
10807ceb-11e8-4f81-84d2-84b264bbd0c2,gostei quando exibiram os impactos do projeto em números
10807ceb-11e8-4f81-84d2-84b264bbd0c2,me despertou uma vontade de contribuir para aumentar essas porcentagens
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,por menos vies na computação
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,por mais mulheres
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,#csbcwit2025
91a02681-4ee5-4892-ba90-686d7ff2b6ef,"amei os momentos, muito significativos"
91a02681-4ee5-4892-ba90-686d7ff2b6ef,acolhedores
91a02681-4ee5-4892-ba90-686d7ff2b6ef,muito lindo os momentos
c8b3d0a8-ff03-4d7f-bd59-b03a93f36656,momento muito importante
c8b3d0a8-ff03-4d7f-bd59-b03a93f36656,bastante interativo
c8b3d0a8-ff03-4d7f-bd59-b03a93f36656,interessante
c08bca4e-d84f-4567-b938-d29470fd6d02,"amando o evento, a estrutura, a animação ansiosa para acompanhar toda a programação"
8ace69cd-74b9-4738-b109-9ea8d441105c,muito bomm
8ace69cd-74b9-4738-b109-9ea8d441105c,estou adorando
a4d6da2d-6f2f-4b75-bfff-31310d0bbff0,massa
39c3a3e9-ded4-4f91-a9f8-b00e2c644d07,wit🔥
39c3a3e9-ded4-4f91-a9f8-b00e2c644d07,oi meninas presente 💋
a4d6da2d-6f2f-4b75-bfff-31310d0bbff0,legal de verdade 👌
c08bca4e-d84f-4567-b938-d29470fd6d02,"meu primeiro csbc, amando esse ambiente acadêmico, essa comunidade, tudo perfeito"
7b902c9d-46c3-49f2-b438-1db305423d2a,a palestra do produtor do manual do mundon foi mundo enriquecedora
7b902c9d-46c3-49f2-b438-1db305423d2a,a gamificação foi bem legal
eb7a2e85-37f5-4355-b66a-b99d1a9ac033,ótima palestra
eb7a2e85-37f5-4355-b66a-b99d1a9ac033,"representando o oi, meninas"
eb7a2e85-37f5-4355-b66a-b99d1a9ac033,(uern)
f429f390-79a1-4e84-9a93-87a43048d3d7,uma oportunidade de conhecer novos projetos
f429f390-79a1-4e84-9a93-87a43048d3d7,aprendizagem
47ac28d9-6e77-4392-b392-960bd5825559,evento maravilhosooo ❤️
cf03f7b1-8338-40a2-84f4-91ec5f988764,momento incrível
cf03f7b1-8338-40a2-84f4-91ec5f988764,"representando o oi, meninas"
47ac28d9-6e77-4392-b392-960bd5825559,muito bomm 🤩🤩🤩
251569e1-42c3-4c32-b8db-d8b8b9741d5b,adorando o fmd
eb7a2e85-37f5-4355-b66a-b99d1a9ac033,muito animada
eb7a2e85-37f5-4355-b66a-b99d1a9ac033,meu primeiro wit+fmd
cf03f7b1-8338-40a2-84f4-91ec5f988764,ótima palestra
75049fc4-0a03-4d80-9d70-6471c2c5a110,amei a abertura
66244247-28d9-4511-acc3-1eb53db22887,amo wit
66244247-28d9-4511-acc3-1eb53db22887,katie presente
75049fc4-0a03-4d80-9d70-6471c2c5a110,o momento de reunião dos projetos parceiros está sendo incrível
9e1aa993-64b6-4d6b-99d1-897ce3415327,excelentes falas
9e1aa993-64b6-4d6b-99d1-897ce3415327,projetos incríveis🥰
66244247-28d9-4511-acc3-1eb53db22887,ansiosa pra ver a camisaa
9e1aa993-64b6-4d6b-99d1-897ce3415327,já quero mais vezes💖💖
fd51eca2-7207-474a-8495-5c0e5f20aea5,parabéns aos projetos
b1c72158-d2a6-4239-87be-166fbeffc509,evento importante demaisss
f9ff0b83-ae39-447d-b0f0-4714731e87c0,evento muito divertidooo
f9ff0b83-ae39-447d-b0f0-4714731e87c0,parabéns pelas apresentaçõess💞
806f7369-1da2-4baa-9c95-7d4962b7f33e,muito bem organizado
806f7369-1da2-4baa-9c95-7d4962b7f33e,adorando a experiência
2dda6d0e-c0bf-4094-9dd0-82540de1cfaa,muito incrível ver todos esses projetos
76a1a1ae-7c41-4d19-a97f-a6eea914b48e,"o evento está maravilhoso, sempre muito inspirador participar"
53e90d93-f0bd-4877-9279-97a086ab6bc5,experiência incrívellll
a4ceb2fb-9e75-4db1-ace5-c82f92a1376e,muito interessante
20280073-68fe-4304-9f54-d23b1663fe33,foi inspirador
20280073-68fe-4304-9f54-d23b1663fe33,abre a cabeça para diversas possibilidades
20280073-68fe-4304-9f54-d23b1663fe33,metas
a4ceb2fb-9e75-4db1-ace5-c82f92a1376e,muita qualidade
76a1a1ae-7c41-4d19-a97f-a6eea914b48e,"importantíssima a experiência para nós, mulheres"
c04b5ba6-0939-443f-93db-54b15820e804,muito legal a ideia do momento de integração
8b928f09-aedb-4ce1-a365-4d56a0839c50,"gostaria de deixar uma sugestão:
disponibilizar os qrcode em diferentes locais da sala para não tumultuar a estrada"
e56b565e-2680-4f05-bfb5-f672c691d632,amei o fórum meninas digitais
1c7000ea-e558-4ef4-93d8-2c018ec84123,ansiosa para o evento do sudeste 💜
e56b565e-2680-4f05-bfb5-f672c691d632,muito legal o momento de integração com os projetos parceiros
2b305129-cc14-4538-8075-78b26f65f34f,"adorei o evento da wit, ele trouxe muito espaço para integração entre os projetos parceiros"
2b305129-cc14-4538-8075-78b26f65f34f,os participantes do painel
454aed9e-698f-45b7-bd91-93f4a4e6aa1d,muito interessante
454aed9e-698f-45b7-bd91-93f4a4e6aa1d,importante
454aed9e-698f-45b7-bd91-93f4a4e6aa1d,entendi tudo com clareza
631b69a6-0a28-4aac-93e4-ae024e5efc3b,o wit é um dos momentos que mais amo dentro do csbc
20280073-68fe-4304-9f54-d23b1663fe33,foi muito bom conhecer um pouquinho mais dos projetos do sudeste
20280073-68fe-4304-9f54-d23b1663fe33,as meninas também
20280073-68fe-4304-9f54-d23b1663fe33,foi bem interativo
20280073-68fe-4304-9f54-d23b1663fe33,integrador
07e26976-d2fa-43c9-8f74-2c155735f461,evento está maravilhoso
6d48edcf-e6d6-48d3-a2e0-e9296cb697f3,inspiradora
2b305129-cc14-4538-8075-78b26f65f34f,"a dinâmica de integração foi muito bem pensada, ótima oportunidade de interagir com outros projetos da minha região"
6d48edcf-e6d6-48d3-a2e0-e9296cb697f3,motivadora
1c7000ea-e558-4ef4-93d8-2c018ec84123,amei a integração entre projetos 💕
c01cfc13-c80c-4c86-872a-da81361b3339,muito legal conhecer os outros projetos da região
7ab458bd-970a-40e5-9525-ee10be806901,amei ❤️❤️❤️ a alegria de todas vocês
7ab458bd-970a-40e5-9525-ee10be806901,é empolgante a energia
7ab458bd-970a-40e5-9525-ee10be806901,os trabalhos realizados
ecf86f01-f235-4ce6-b218-43e9ae6ebb8f,palestra super inspiradora da michelle wangham
9517374b-5f4f-444c-92e3-177a0b866f14,"a palestra foi muito interessante, é maravilhoso ver mulheres fortes, dedicadas"
9517374b-5f4f-444c-92e3-177a0b866f14,inteligentes - esse tipo de coisa nos inspira
9517374b-5f4f-444c-92e3-177a0b866f14,"após a palestra me sinto inspirada a continuar na área de exatas,"
9517374b-5f4f-444c-92e3-177a0b866f14,sinto que outras meninas também
ecf86f01-f235-4ce6-b218-43e9ae6ebb8f,ansiosa para a programação da tarde
e895817d-40ea-4597-a1bb-4bc2cf6cbe8d,licode está no wit 2025 💜
f429f390-79a1-4e84-9a93-87a43048d3d7,ter oportunidade de conhecer
f429f390-79a1-4e84-9a93-87a43048d3d7,possibilidades de aprendizagem
4d59d2bb-694c-4bf2-b444-3b4b967095f1,o wit como sempre está maravilhoso
8b928f09-aedb-4ce1-a365-4d56a0839c50,a palestra foi muito inspiradora
8b928f09-aedb-4ce1-a365-4d56a0839c50,sempre bom
8b928f09-aedb-4ce1-a365-4d56a0839c50,animador ver a carreira de mulheres brilhantes
8b928f09-aedb-4ce1-a365-4d56a0839c50,atuantes em tantas áreas
8b1e1d3e-9c74-43ce-bbc4-77d5689bf024,tudo muito incrível
8b1e1d3e-9c74-43ce-bbc4-77d5689bf024,perfeitooo
489050ba-f6ce-4f05-a8ce-d6bdee47371a,motivadoras
489050ba-f6ce-4f05-a8ce-d6bdee47371a,o wit trás para nós ouvintes a vontade de incentivar mais mulheres
5244efbb-01d2-4f7e-b505-4fd32300baff,amei a programação da manhã
5244efbb-01d2-4f7e-b505-4fd32300baff,as novidades da gamificação estão maravilhosas
fa22c635-07b6-4718-9309-2665ad2d1a12,"que lindos esses pôsteres, projetos incríveis, todae de parabéns"
671f8ca1-38b7-401b-b96a-2dc047c32c4b,"o wit tem me maravilhada, por sua organização"
671f8ca1-38b7-401b-b96a-2dc047c32c4b,inovações durante o evento
cd69c32b-34d1-4906-ae5f-2ee3fe9d8a70,aplicativo muito interessante
cd69c32b-34d1-4906-ae5f-2ee3fe9d8a70,"estou gostando dele, parabéns"
671f8ca1-38b7-401b-b96a-2dc047c32c4b,coletivo lovelace x meninas digitais<3
3f3583d6-1037-423a-9a58-0b27ea89d428,os meninos da gamificação são muito legais
f6bf24cf-734d-4f0e-a735-4a08d53c2b85,pôsteres lindos
07e26976-d2fa-43c9-8f74-2c155735f461,evento ótimo
00785be0-171f-446a-9069-97212c12e0e3,vocês são incríveis
00785be0-171f-446a-9069-97212c12e0e3,amei a energia de vocês
00785be0-171f-446a-9069-97212c12e0e3,adorei a maneira como abordam os assuntos
00785be0-171f-446a-9069-97212c12e0e3,como conseguem fazer a gente refletir sobre
79625db1-c0bb-49d6-aa29-76fd1dc284e8,muito interessante o projeto por ser inovador
79625db1-c0bb-49d6-aa29-76fd1dc284e8,achei legal a sessão de autógrafos de livros por ter a interação entre o autor
79625db1-c0bb-49d6-aa29-76fd1dc284e8,o telespectador
76612240-be0f-4dff-bf33-a3c43cd8ed98,as palestras foram muito importantes para engajamento
93780366-368f-4230-aa79-3ac4dca0bec6,vocês são maravilhosas
c4d4555d-4b97-46e8-93fe-6ad239865bd6,a palestra foi ótima
c4d4555d-4b97-46e8-93fe-6ad239865bd6,a questão de síndrome do impostor é algo que já ouvi muito dentro da faculdade
c4d4555d-4b97-46e8-93fe-6ad239865bd6,é uma das principais causas de afastamento das meninas do curso
c4d4555d-4b97-46e8-93fe-6ad239865bd6,muito bom ter alguém para se inspirar
c4d4555d-4b97-46e8-93fe-6ad239865bd6,seguir
02e1032e-bbbf-4f0a-b350-645b9923a7f4,"eu gostei bastante que esse ano as camisas não são no último dia, para poder usar ela mais pelo congresso"
02e1032e-bbbf-4f0a-b350-645b9923a7f4,amei os artigos apresentados
9306534e-a4af-407c-a97e-3eab6fa1c918,muito interessante os projetos envolvidos na apresentação dos banners
3e11fb01-68a6-4df9-99ff-eb6fa17ea8e0,o wit é sem sombra de dúvidas a melhor coisa do csbc
0b73ddb5-b846-48b5-929f-94253a3d2b43,trabalhos muito inspiradores
0b73ddb5-b846-48b5-929f-94253a3d2b43,wit 2025 veio com tudo
2402b435-49a8-4e35-a936-fddc4e00aeb6,trabalho muito inspirador
2402b435-49a8-4e35-a936-fddc4e00aeb6,interessante
a6584b5b-822e-4c85-be5b-e91db87dc16e,estou adorando tudo
a6584b5b-822e-4c85-be5b-e91db87dc16e,"é a primeira participação no wit, a integração é maravilhosa"
0420c57a-0aa8-45b1-9166-f455c0711707,evento incrível
be28feaa-bc8c-45e6-b109-e943185c33f5,alguns banner revela a baixa presença feminina na tecnologia
be28feaa-bc8c-45e6-b109-e943185c33f5,projetos como meninas digitais são essenciais para mudar esse cenário com acolhimento
be28feaa-bc8c-45e6-b109-e943185c33f5,protagonismo
b3739f83-191f-483a-b695-efbe8e12def9,"amei demais, abriu muito minha mente sobre vários assuntos que eu nao tinha nenhum contato ou conhecimento"
e6c29589-e8e1-47aa-be9e-aecde3b1f82b,"perfeito, tá jncrivel"
e6c29589-e8e1-47aa-be9e-aecde3b1f82b,tudo muito bem organizado
9306534e-a4af-407c-a97e-3eab6fa1c918,palestra super importante da rafaela sobre representatividade feminina no mundo da tecnologia
2402b435-49a8-4e35-a936-fddc4e00aeb6,trabalho extremamente necessário
2402b435-49a8-4e35-a936-fddc4e00aeb6,inclusivo
0b73ddb5-b846-48b5-929f-94253a3d2b43,trabalho muito necessário
3e11fb01-68a6-4df9-99ff-eb6fa17ea8e0,a apresentação dos artigos está incrível
be28feaa-bc8c-45e6-b109-e943185c33f5,"com ênfase em representatividade:
ver mulheres liderando inspira"
be28feaa-bc8c-45e6-b109-e943185c33f5,a meninas digitais mostra que presença importa
be28feaa-bc8c-45e6-b109-e943185c33f5,que inclusão real começa com acolhimento
be28feaa-bc8c-45e6-b109-e943185c33f5,exemplo
be669223-c64d-4256-b488-d6a63a1f5117,"é muito incentivador ver outros projetos de meninas,"
be669223-c64d-4256-b488-d6a63a1f5117,percebo como eles são importantes para o fortalecimento
be669223-c64d-4256-b488-d6a63a1f5117,engajamento das meninas nos cursos de tecnologia
de8d707d-b7b7-43bd-9191-a060a88bb761,posters estão muito legais 💚
86deea25-a256-41b3-9189-10ce396e3deb,estou adorando o evento
8f0f4c0d-f2eb-4b18-8099-25bcd217a483,as meninas dando show na obi
bbce1d34-bf29-45d4-8ff1-5bc397a59a07,achei muito interessante
bbce1d34-bf29-45d4-8ff1-5bc397a59a07,inovador
be669223-c64d-4256-b488-d6a63a1f5117,se percebe a importância de criar espaços onde mulheres se sintam incluídas
be669223-c64d-4256-b488-d6a63a1f5117,empoderadas
bbce1d34-bf29-45d4-8ff1-5bc397a59a07,muitoo legal esse evento
86deea25-a256-41b3-9189-10ce396e3deb,triste porque perdi a palestra de manhã;(
4bc0a904-0a38-4b33-b1de-cab5ea9cf808,muito boa a palestra
4bc0a904-0a38-4b33-b1de-cab5ea9cf808,que massa o incentivo
c49c15fe-dc85-4357-b9ea-0311374c56f8,gostei
c49c15fe-dc85-4357-b9ea-0311374c56f8,integração legal
b3739f83-191f-483a-b695-efbe8e12def9,gostei bastante dos conteúdos abordados
15e5d92b-4326-4e8c-9499-c40fba495716,"alegra meu coração em saber que as mulheres estão se envolvendo em pesquisas da computação, programação"
15e5d92b-4326-4e8c-9499-c40fba495716,a cada novo congresso os números crescem
15e5d92b-4326-4e8c-9499-c40fba495716,crescem😍
15e5d92b-4326-4e8c-9499-c40fba495716,"que mais faculdades motivem mulheres nas stem, fundamental para essa nova geração"
352e47bd-d2bf-4541-a6ce-6498a321db06,iniciativa bem enriquecedora
5244efbb-01d2-4f7e-b505-4fd32300baff,muito alto nível os trabalhos da poeira sessão
9ea006aa-40fb-4edc-98dd-39d527a61d6d,muito bom
9ea006aa-40fb-4edc-98dd-39d527a61d6d,amei todas as palestras
429ddec8-9edb-4757-ab8b-fcdb61defd4e,muito bom
429ddec8-9edb-4757-ab8b-fcdb61defd4e,amei as apresentações dos artigos
8f0f4c0d-f2eb-4b18-8099-25bcd217a483,muito legal como estratégias de marketing podem modificar a percepção
8f0f4c0d-f2eb-4b18-8099-25bcd217a483,o alcance dos projetos parceiros do meninas digitais
4d59d2bb-694c-4bf2-b444-3b4b967095f1,o wit tem se mostrado a cada ano a sua relevância
4d59d2bb-694c-4bf2-b444-3b4b967095f1,parabéns pelo evento
8a9fc84a-4a91-46ee-b112-e39d627e2abd,foi ótimo participar da sessão de pôsteres wit
8a9fc84a-4a91-46ee-b112-e39d627e2abd,uma experiência de apresentação valiosa
8a9fc84a-4a91-46ee-b112-e39d627e2abd,amei os brindes da sessão técnica de artigos
8a9fc84a-4a91-46ee-b112-e39d627e2abd,a busca pelos adesivos foi divertida
8a9fc84a-4a91-46ee-b112-e39d627e2abd,além de prestigiar ótimas apresentações
67959b7b-0a25-4354-a35e-f5974a549323,"parabéns, meninas"
1ced77b3-b5de-4d74-8882-f7ffe3d9ec30,"palestra muito esclarecedora, adorei"
1ced77b3-b5de-4d74-8882-f7ffe3d9ec30,ansiosa para os próximos dias
3efe71e2-c0d5-4596-b566-0ef34e7ff13d,a parte da apresentação que assisti estava ótima
3efe71e2-c0d5-4596-b566-0ef34e7ff13d,"sobre o aplicativo acho q faltou uma divulgação melhor ou um link pelo email, eu mesma anotei o nome"
3efe71e2-c0d5-4596-b566-0ef34e7ff13d,"demorei muito a baixar pq estava correndo pelo evento, creio que colocar hj na mesa foi o ideal"
88bb321c-9db1-4e9f-aaad-320e88c5bd5d,"muito interessante, precisava ouvir isso"
88bb321c-9db1-4e9f-aaad-320e88c5bd5d,parabens
67959b7b-0a25-4354-a35e-f5974a549323,ansiosa para ver o wit hoje 😍
d045f926-cf41-4757-ae96-89594f6e4870,ótimo 💜💜💜
d045f926-cf41-4757-ae96-89594f6e4870,excelente apresentações 💜🥰
06f1249e-61d1-4916-a745-f29b8095822b,tá sendo uma experiência incrível participar do wit ❤️
a4526431-24ef-4045-8981-a19a451487ac,organização impecável
a4526431-24ef-4045-8981-a19a451487ac,adorando
06f1249e-61d1-4916-a745-f29b8095822b,vocês arrasaram na organização
06f1249e-61d1-4916-a745-f29b8095822b,planejamento ❤️
9d149e84-581a-4008-996e-d3680d5bcd88,mais um dia de muitas atividades 🤩
9d149e84-581a-4008-996e-d3680d5bcd88,gamificação é top
a4526431-24ef-4045-8981-a19a451487ac,o encontro dos projetos parceiros foi muito bom
9365cf2e-64e9-49a0-bd3a-0d347b215820,o evento tá incrível ❤️❤️
9365cf2e-64e9-49a0-bd3a-0d347b215820,"sem palavras para às meninas, sao muito maravilhosaaaas"
e11a154c-a026-49a9-9a71-ad45b5939df8,mais um dia cheio de conhecimento 🥰
e11a154c-a026-49a9-9a71-ad45b5939df8,mais um dia de wit 🥳
4270590b-ac53-434d-88eb-f948b87a7247,ansioso para mais um dia de wit
4270590b-ac53-434d-88eb-f948b87a7247,"bom dia, que hoje seja tão incrível quanto ontem"
75049fc4-0a03-4d80-9d70-6471c2c5a110,amei o momento de integração ontem
75049fc4-0a03-4d80-9d70-6471c2c5a110,a sessão de autógrafos foi incrível
16d2d16a-6864-4d0c-afe3-d87991308ec5,ansioso pra o segundo dia
16d2d16a-6864-4d0c-afe3-d87991308ec5,ótima palestra de ontem
934ac1e9-8a9e-4865-977f-b22e4bbce84e,bora pro segundo dia de wit
934ac1e9-8a9e-4865-977f-b22e4bbce84e,ansiosa pra ganhar a camiseta :)
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,adorei as sessões de artigos ontem a noite
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,bora pra mais um dia de evento incrível
b8b92070-a5ba-4bca-ab6c-1976294cf8da,mais um dia de wit
b8b92070-a5ba-4bca-ab6c-1976294cf8da,eu já estou começando a ficar com saudades
a4ceb2fb-9e75-4db1-ace5-c82f92a1376e,tudo maravilhoso parabéns
ed496342-5088-4e03-9bf6-270dbfd06758,super empolgada para pôsteres do projetos ✨
a4ceb2fb-9e75-4db1-ace5-c82f92a1376e,ótimo conteúdo
ed496342-5088-4e03-9bf6-270dbfd06758,adorando a integração dos projetos 🫶🏻
8ace69cd-74b9-4738-b109-9ea8d441105c,evento maravilhoso
8ace69cd-74b9-4738-b109-9ea8d441105c,incrível demais ❤️❤️
560003d3-5b59-481c-85d2-838ef984b466,bom dia
560003d3-5b59-481c-85d2-838ef984b466,mais um dia de palestras
560003d3-5b59-481c-85d2-838ef984b466,eventos para o aprendizado
5bb974d7-0d42-4ba7-b115-6f2821843ecc,ansiosa por este segundo dia de wit 💖
01bdf958-26a8-4cbb-9001-f8323dd02301,mais um dia de eventooo
560003d3-5b59-481c-85d2-838ef984b466,que deus abençoe esse dia
560003d3-5b59-481c-85d2-838ef984b466,que traga inspiração para os palestrantes
01bdf958-26a8-4cbb-9001-f8323dd02301,que camisa lindaa
cf03f7b1-8338-40a2-84f4-91ec5f988764,mais um dia do wit
cf03f7b1-8338-40a2-84f4-91ec5f988764,♡-♡
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,ouvir tantas mulheres incríveis compartilhando suas trajetórias na tecnologia me motivou muito
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,me fez refletir sobre o quanto ainda temos a conquistar
c8ddbe59-a031-4194-add3-db3071ddcbef,"oi, meninas no wit 💜"
5bb974d7-0d42-4ba7-b115-6f2821843ecc,empolgada com as palestras de hoje
eb7a2e85-37f5-4355-b66a-b99d1a9ac033,animada pra mais um dia de wit
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,"foi um espaço real de troca, aprendizado"
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,força
c8ddbe59-a031-4194-add3-db3071ddcbef,uern presente
eb7a2e85-37f5-4355-b66a-b99d1a9ac033,bom dia
eb7a2e85-37f5-4355-b66a-b99d1a9ac033,vamos para mais um dia de wit
f3eed192-b8ab-4094-942f-54e234fbb70b,"está tudo incrível, primeiro dia superou todas as expectativas 🫶🏻🫶🏻🫶🏻"
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,"feliz dia, wit"
07e26976-d2fa-43c9-8f74-2c155735f461,ótimo evento
07e26976-d2fa-43c9-8f74-2c155735f461,parabéns a todos
f3eed192-b8ab-4094-942f-54e234fbb70b,o wit está incrível 💜
a57c1135-2ebb-4824-9625-c0bce163dddf,ansioso para as atividades de hoje
a57c1135-2ebb-4824-9625-c0bce163dddf,que alegria em participar do evento
222af335-a31e-459b-aa3d-6ce592bff7b7,mt animado pra hj
222af335-a31e-459b-aa3d-6ce592bff7b7,incrivel
3ad87374-5d6b-41e4-a901-00435a3f8c6e,obrigada pela mensagem inspiradora
3ad87374-5d6b-41e4-a901-00435a3f8c6e,amei a palestra de hoje
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,mais um dia pronta para as palestras
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,integrações com as meninas digitais
e895817d-40ea-4597-a1bb-4bc2cf6cbe8d,ansiosa para o segundo dia do wit 😍
599e5dc6-fa67-4845-a44e-539c244937fc,bom dia
599e5dc6-fa67-4845-a44e-539c244937fc,mais um dia maravilhoso
599e5dc6-fa67-4845-a44e-539c244937fc,💜💜💜
d045f926-cf41-4757-ae96-89594f6e4870,ótimo 👍
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,patrocinio top do wit
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,"embraer, engie, eldorado, google, mindat, ella, bb"
f37ffdc2-3f64-4b56-a935-4ddecee92321,"evento muito bom, a diversidade dos projetos psra inclusão feminina é maravilhoso"
f37ffdc2-3f64-4b56-a935-4ddecee92321,que a cada ano cresça mais
2b305129-cc14-4538-8075-78b26f65f34f,a experiência do segundo dia do wit fez jus a expectativa criada pelo dia anterior
2b305129-cc14-4538-8075-78b26f65f34f,mais uma vez foi criado um ambiente de interação
2b305129-cc14-4538-8075-78b26f65f34f,"troca de experiência, conhecimento"
2b305129-cc14-4538-8075-78b26f65f34f,de acolhimento
f37ffdc2-3f64-4b56-a935-4ddecee92321,wit está sendo um dos melhores eventos do dia
671f8ca1-38b7-401b-b96a-2dc047c32c4b,"queria que tivessem mais broches do meninas digitais para comprar, não consegui comprar um :/"
671f8ca1-38b7-401b-b96a-2dc047c32c4b,muito bem organizado o evento
6e668e80-7eda-405e-814d-d4b1dd4538c3,tudo muito incrível
6e668e80-7eda-405e-814d-d4b1dd4538c3,o wit é o melhor evento do csbc
a2172412-8829-44fe-a1bb-c21eb82571aa,"os meninos que estavam responsáveis pela ramificação fora demais, explicaram pra gente com a maior calma"
a2172412-8829-44fe-a1bb-c21eb82571aa,animação
a2172412-8829-44fe-a1bb-c21eb82571aa,"achei que o formato de apresentação dos pôsteres ficou muito tumultuado,"
a2172412-8829-44fe-a1bb-c21eb82571aa,as apresentações foram incríveis
806f7369-1da2-4baa-9c95-7d4962b7f33e,evento incrível
806f7369-1da2-4baa-9c95-7d4962b7f33e,a organização está de parabéns
050da8f6-fd58-42b6-8066-82fb42c0fa4b,boa palestra
050da8f6-fd58-42b6-8066-82fb42c0fa4b,ótima abordagem de conteúdo em relação a 1° palestra do dia 23
050da8f6-fd58-42b6-8066-82fb42c0fa4b,boa apresentação
050da8f6-fd58-42b6-8066-82fb42c0fa4b,também explicação do projeto
050da8f6-fd58-42b6-8066-82fb42c0fa4b,"organização ótima, boa qualidade de infraestrutura"
050da8f6-fd58-42b6-8066-82fb42c0fa4b,"sala bem refrigerada
ótima ambientação"
192b32a5-e58c-4098-9904-78bda4615134,ótima palestra
192b32a5-e58c-4098-9904-78bda4615134,muito bom adquirir conhecimento
00da94da-eaf9-4790-a6fe-fe7b33931c70,ótimo conhecer mais sobre o renacee
4a257948-6c61-4d69-b2bf-45561ca9dc96,"parabéns pela organização meninas, gostei bastante da dinâmica das regiões"
4a257948-6c61-4d69-b2bf-45561ca9dc96,achei bastante diverso
4a257948-6c61-4d69-b2bf-45561ca9dc96,informativo
1e2c4536-db1c-40f6-a514-717da937138d,o ambiente do evento é muito amplo
1e2c4536-db1c-40f6-a514-717da937138d,"bem estruturado, bem equipado"
1e2c4536-db1c-40f6-a514-717da937138d,a organização das palestras está excepcional
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,empolgada para mais um dia de evento
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,#licrogirls
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,a mesa redonda está sendo muito interessante
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,"a organização do evento está perfeita, tudo incrível ❤️"
97bb898c-af32-4429-b56c-5914309a8775,muuuito feliz de ver as estudantes do projeto que faço parte no telão
97bb898c-af32-4429-b56c-5914309a8775,lindo demais 💖
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,achei incrível conhecer pessoalmente o programa meninas digitais
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,o wit como um todo
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,saio do evento completamente inspirada por mulheres guerreiras nas áreas de steam
c5b8399a-a600-4d95-86c9-4de0d38c3d25,"muito bom, agradeço por trazer muitas informações"
90323ec9-1991-46bd-bc2a-4a3d8804cf71,achei tudo super didático
f2d72cbf-07dd-4592-9ed1-c74275748cb7,importante conhecer outros projetos que influenciam meninas em stem por todo o brasil
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,dia de muito aprendizado
9f773bc4-a96d-41fd-a812-4cd40ae76ce4,#girls
90323ec9-1991-46bd-bc2a-4a3d8804cf71,"gostei muito mesmo, espero estar presente mais vezes"
