participante,comentário
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,"a palestra do wit está sensacional, que seja uma experiência proveitosa para conhecer mulheres em todo o brasil"
268e12fc-6012-41e0-9301-483b58059c69,podemos chegar a todos os lugares
268e12fc-6012-41e0-9301-483b58059c69,incrível
94e79e36-97e0-4aa4-b033-298dd22658d1,o wit 2025 já é sucesso
94e79e36-97e0-4aa4-b033-298dd22658d1,parabéns à organização do wit por cuidarem com tanto carinho do evento
01bdf958-26a8-4cbb-9001-f8323dd02301,que mulheres maravilhosas
5bb974d7-0d42-4ba7-b115-6f2821843ecc,que alegria poder participar do wit 2025
5bb974d7-0d42-4ba7-b115-6f2821843ecc,ansiosa por esses três dias
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,espero sair desse evento bem representada por ser mulher na área de tecnologia
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,que tenha mais visibilidade em relação aos debates
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,a palestra do wit no congresso foi extremamente inspiradora
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,ver mulheres compartilhando seus desafios na tecnologia reforça a importância de promover mais equidade
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,representatividade na área
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,que energia maravilhosa na palestra do wit
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,sair desse espaço me fez lembrar por que escolhi estar na tecnologia
adec314d-1120-4e55-985a-8bdbbf48be55,"gurias na computação, presente"
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,participar do wit é uma experiência enriquecedora
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,inspiradora
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios"
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,conquistas na área da tecnologia
1bfbf56f-28e4-4dee-874f-83823030bda3,"segunda edição que participo do wit,"
1bfbf56f-28e4-4dee-874f-83823030bda3,"como na edição passada, o evento está lindo"
1bfbf56f-28e4-4dee-874f-83823030bda3,as mulheres que fazem isso acontecer são uma grande inspiração para mim
6e490da9-d604-49fa-b782-7cc09c1615d3,esse evento é extremamente importante para que mulheres de tecnologias se vejam representadas
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais
6e490da9-d604-49fa-b782-7cc09c1615d3,muito significado estar num evento que valoriza mulheres na tecnologia
2c016692-1092-46cc-876c-ed6be5556315,evento inspirador
ae163e36-169f-44a1-8c73-558123924278,incrível ouvir de uma mulher na área de cibersegurança
ae163e36-169f-44a1-8c73-558123924278,inspiração
ae163e36-169f-44a1-8c73-558123924278,boa ideia de gamificação
ae163e36-169f-44a1-8c73-558123924278,dinâmica atraente
1adbc12f-bf03-4c55-8960-539251e80c9e,amando
934ac1e9-8a9e-4865-977f-b22e4bbce84e,uhuuul ansiosa por toda a programação
01bdf958-26a8-4cbb-9001-f8323dd02301,já quero brindeess
0075ff65-ea4f-498d-992f-ada2464aa615,muito show a abertura
c2b6bd29-c4b7-4ad9-ab56-0ec11fd42341,muita emoção neste inicio do wit
c90f49e7-30eb-4954-bad6-ff13e4342a57,ansiosa para todos esses dias
ed496342-5088-4e03-9bf6-270dbfd06758,abertura está cheia de momentos especiais 🤩
97bb898c-af32-4429-b56c-5914309a8775,muito feliz de conhecer mulheres tão incríveis
c90f49e7-30eb-4954-bad6-ff13e4342a57,amando tudo
beb83d0c-252a-427a-ad04-c09c36dde4bd,minha primeira vez
beb83d0c-252a-427a-ad04-c09c36dde4bd,já estou amando
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,"ótima palestra de abertura, tudo muito bem explicado"
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,a equipe é super divertida
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,intrigante
412301d3-9406-4057-b8ca-f6c63f066ec3,evento extremamente necessário
412301d3-9406-4057-b8ca-f6c63f066ec3,adorei com certeza venho nas próximas edições
0708d7a9-ed61-4c3c-9a29-dd8d999363e3,adorando o wit <3
ec75f459-7b9d-4c5e-a6c6-7e8f15491c4b,estou adorando
ec75f459-7b9d-4c5e-a6c6-7e8f15491c4b,"palestras muito interessantes, parabens"
b276ced5-ff2f-4c66-821d-f7751ca3e6d8,amando a vibe boa do wit
6a932bef-bc47-4979-8361-01f0ca51d5bd,muito legal ver o wit lotado como sempre
c8ddbe59-a031-4194-add3-db3071ddcbef,amando a abertura do wit
c8ddbe59-a031-4194-add3-db3071ddcbef,meninas na computação
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,meu primeiro wit
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,estou amando
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar no wit foi mais do que participar de um evento — foi se reconhecer em histórias, se inspirar em trajetórias"
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,renovar o compromisso com a transformação que queremos ver na tecnologia
d7cc7b23-8be1-497b-ae4a-23b538971629,evento maravilhoso
412301d3-9406-4057-b8ca-f6c63f066ec3,amei a ideia de sorteios
412301d3-9406-4057-b8ca-f6c63f066ec3,brindes
de8d707d-b7b7-43bd-9191-a060a88bb761,"que evento incrível, animada para as próximas atividades 🤩"
d7cc7b23-8be1-497b-ae4a-23b538971629,parabéns meninas
93780366-368f-4230-aa79-3ac4dca0bec6,meu 1° wit 🥰
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,minha primeira vez participando do wit
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,tô animada demaaais pra conhecer os projetos
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,ver os artigos
69ff38b0-ff54-47d7-bee7-cccd757b6ed4,muito top
69ff38b0-ff54-47d7-bee7-cccd757b6ed4,ótimo evento
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres"
4270590b-ac53-434d-88eb-f948b87a7247,muito massa a inclusão que o wit
4270590b-ac53-434d-88eb-f948b87a7247,"o meninas digitais proporciona, por mais movimentos assim"
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,quero ser revisora do próximo wit
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,espero vcs no wit 2027 que será em manaus
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,fabiola somos as coordenadoras do csbc
16d2d16a-6864-4d0c-afe3-d87991308ec5,acho essa palestra super necessária
cd5e94b1-51c2-4147-a20b-9e1345a0adad,eu ameiii a abertura foi muito legal
cd5e94b1-51c2-4147-a20b-9e1345a0adad,eu amo estar nesses ambientes
cd5e94b1-51c2-4147-a20b-9e1345a0adad,me dá mais incentivo
cd5e94b1-51c2-4147-a20b-9e1345a0adad,entusiasmo em continuar na área
4270590b-ac53-434d-88eb-f948b87a7247,"muito bom ver tantas garotas entrando nesse mercado, que esse número continue crescendo"
d230aaa6-976f-49bd-bb8a-21d45dec64ab,parabéns sobre a iniciativa
cd5e94b1-51c2-4147-a20b-9e1345a0adad,"a pesquisa sobre cyber segurança eu amooo 
é a área que pretendo seguir com toda certeza"
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar"
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,quantas mulheres incríveis em um só lugar
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,muito animada com a gamificação
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,acho legal a ideia de mostrar por quem está por trás do evento
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,é muito bom ver como várias mulheres se esforçaram para fazer esse evento acontecer com a melhor qualidade
908bb7b4-88ca-4d4c-83d1-513a4e11c569,estou participando pela primeira vez do wit
908bb7b4-88ca-4d4c-83d1-513a4e11c569,estou amandooo
908bb7b4-88ca-4d4c-83d1-513a4e11c569,que experiência incrível
5ca22f49-b601-4a36-81af-dba71e05cf97,mulheres maravilhosas
c5f537b2-2d25-4784-88c0-7d434cd447d9,o mermãs digitais já chegou por aqui
c5f537b2-2d25-4784-88c0-7d434cd447d9,estamos amandoooo 💜
908bb7b4-88ca-4d4c-83d1-513a4e11c569,csbc arrasou nos brindes
fa22c635-07b6-4718-9309-2665ad2d1a12,minascoders no wit
c5f537b2-2d25-4784-88c0-7d434cd447d9,o @mermasdigitais quer conhecer cada um de vocês
c5f537b2-2d25-4784-88c0-7d434cd447d9,"então já corre lá no instagram da um oi pra gente, mermã"
7afaf882-baa2-47f7-aa69-a15f8ad3452a,"minha primeira vez no csbc, estou super animada com a programação do wit"
4a257948-6c61-4d69-b2bf-45561ca9dc96,"parabéns a todas as mulheres que fizeram a evento acontecer, vocês são fundamental na representatividade"
4a257948-6c61-4d69-b2bf-45561ca9dc96,no senso de pertencimento da área da computação
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,muito feliz em ver o meninas
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,comp em peso aqui
ad354d54-21eb-4c8d-a1a9-d68dbfca98d4,top
ad354d54-21eb-4c8d-a1a9-d68dbfca98d4,legal
4a257948-6c61-4d69-b2bf-45561ca9dc96,"fico muito feliz de estar presente aqui, gostei bastante da organização de vocês, o aplicativo foi fundamental para isso"
df0c5066-4918-4384-bf21-9ba7343bf772,que maravilhoso
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,super interessante o tema da palestra
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,o protagonismo das mulheres em ti
7ccb708c-e1cd-4901-8baf-d7ab9d4f653c,muito legal
e9b594f7-6309-4190-9032-4dde803e2d6a,muito bom conhecer a história de outras mulheres na área👏👏👏
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,show
262af184-23c3-4cb4-8231-04a142217d69,muito inspirador
262af184-23c3-4cb4-8231-04a142217d69,mostra que nós mulheres podemos encontrar nosso lugar na tecnologia
7ccb708c-e1cd-4901-8baf-d7ab9d4f653c,parabéns meninas digitais
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,as palestras estão incríveis
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,muito inspiradoras ❤️
f37ffdc2-3f64-4b56-a935-4ddecee92321,muito bom poder participar do evento
6a932bef-bc47-4979-8361-01f0ca51d5bd,"palestra sensacional, uma visão pessoal de uma pesquisadora já consolidada"
170840c4-5893-454a-8433-5854baffd2cc,"quão gratificante é ver a diferença que o wit está fazendo, promovendo uma maior presença de mulheres nas áreas de tecnologia"
d90a7533-8a3c-4a1e-9221-2185fdeaec90,energia maravilhosa
d90a7533-8a3c-4a1e-9221-2185fdeaec90,muito bom ver mulheres na área de ti
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,"estou amando cada momento, tudo perfeito"
dbfa6a71-9259-4730-8103-7b846417ee6c,"evento muito interessante, ouvir mulher numa área ainda muito masculina é sempre bom"
d90a7533-8a3c-4a1e-9221-2185fdeaec90,inspirador ouvir todas as histórias dessas mulheres maravilhosas
b11326b5-9d5e-4d41-9e8a-fe4a2bd9bbb4,"evento inspirador, sensação incrível ver tantas mulheres maravilhosas"
170840c4-5893-454a-8433-5854baffd2cc,ansiosa pelo fórum meninas digitais
9365cf2e-64e9-49a0-bd3a-0d347b215820,o que ti motivo a seguir a carreira bastante domininada pelo o público masculino
9365cf2e-64e9-49a0-bd3a-0d347b215820,palestra está incrível ❤️❤️
e895817d-40ea-4597-a1bb-4bc2cf6cbe8d,é inspirador ver mulheres ocupando cargos tão importantes dentro da tecnologia 🥰✨
6f176fc5-6aae-47d6-ada8-2b685bef02b4,muito interessante
68e4ebcd-71fa-44a0-bd6b-1baa21fbb915,"abertura linda, evento maravilhoso"
6f176fc5-6aae-47d6-ada8-2b685bef02b4,👏🏽👏🏽👏🏽
7afaf882-baa2-47f7-aa69-a15f8ad3452a,evento incrível
936c9115-1651-46b3-8773-bdd88526fc2f,"amei a abertura, gamificaçao é tudo"
936c9115-1651-46b3-8773-bdd88526fc2f,tudo perfeito
e9b594f7-6309-4190-9032-4dde803e2d6a,a palestra da professora michelle wangham está maravilhosa
e9b594f7-6309-4190-9032-4dde803e2d6a,estou começando a ter interesse
e9b594f7-6309-4190-9032-4dde803e2d6a,olhar com mais carinho para a área de cibersegurança🩷
2c016692-1092-46cc-876c-ed6be5556315,palestra da michele tá massa
8e1a9311-52fe-4567-8c58-70f0e2281925,evento incrível
3406c3d7-f8f1-4db4-9d3f-06b9d53fa541,❤️❤️❤️
8e1a9311-52fe-4567-8c58-70f0e2281925,ameiiii esse livro
8e1a9311-52fe-4567-8c58-70f0e2281925,já queroooo
e11a154c-a026-49a9-9a71-ad45b5939df8,que evento lindo 🥰
53e90d93-f0bd-4877-9279-97a086ab6bc5,abertura muito linda
53e90d93-f0bd-4877-9279-97a086ab6bc5,inspiradora
53e90d93-f0bd-4877-9279-97a086ab6bc5,sempre bom ver mulheres dominando espaços na educação
53e90d93-f0bd-4877-9279-97a086ab6bc5,tecnologia 💞
3406c3d7-f8f1-4db4-9d3f-06b9d53fa541,uma experiência incrível 👏👏👏
e11a154c-a026-49a9-9a71-ad45b5939df8,o wit é maravilhoso
262af184-23c3-4cb4-8231-04a142217d69,importância de aprender a conciliar as tarefas do trabalho com a maternidade
262af184-23c3-4cb4-8231-04a142217d69,ambos de fato valem a pena
a57c1135-2ebb-4824-9625-c0bce163dddf,evento incrível 👏🔥
a57c1135-2ebb-4824-9625-c0bce163dddf,a gamificação esse ano está incrível
da7abf85-cae5-4a1a-83ef-e23b350da886,iniciei agora dentro do evento
da7abf85-cae5-4a1a-83ef-e23b350da886,estou amando
da7abf85-cae5-4a1a-83ef-e23b350da886,esta sendo bem animado
f37ffdc2-3f64-4b56-a935-4ddecee92321,muito ver jornadas
f37ffdc2-3f64-4b56-a935-4ddecee92321,desafios das mulheres no meio acadêmico
f37ffdc2-3f64-4b56-a935-4ddecee92321,profissional
f37ffdc2-3f64-4b56-a935-4ddecee92321,exemplos de superação
f37ffdc2-3f64-4b56-a935-4ddecee92321,persistência
67959b7b-0a25-4354-a35e-f5974a549323,é incrível estar rodeada de mulheres inspiradoras 🤩
4b19c21f-0936-4c69-ae25-18f84c9119a3,"é incrível conhecer a história de tantas mulheres na area, é inspirador"
4b19c21f-0936-4c69-ae25-18f84c9119a3,me estimula a crescer em ti
00da94da-eaf9-4790-a6fe-fe7b33931c70,"é tão importante esse compartilhamento da michelle, mostrando que não é fácil construir uma carreira de sucesso,"
00da94da-eaf9-4790-a6fe-fe7b33931c70,é possível
00da94da-eaf9-4790-a6fe-fe7b33931c70,uma realidade próxima de nós
5ca22f49-b601-4a36-81af-dba71e05cf97,michelle você é uma inspiração
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,"a palestra da michelle wangham foi muito boa, a oratória dela prende a atenção"
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,sua experiência de vida conseguiu me inspirar a crescer muito mais
adec314d-1120-4e55-985a-8bdbbf48be55,"a trajetória de michelle é, de fato, inspiradora"
d045f926-cf41-4757-ae96-89594f6e4870,to amando participar
6e668e80-7eda-405e-814d-d4b1dd4538c3,uma palestra realmente muito inspiradora
d045f926-cf41-4757-ae96-89594f6e4870,conheça o mermãs digitais 💜 @mermasdigitais
934ac1e9-8a9e-4865-977f-b22e4bbce84e,excelente palestra
934ac1e9-8a9e-4865-977f-b22e4bbce84e,muito interessante entender a vida da professora
934ac1e9-8a9e-4865-977f-b22e4bbce84e,como toda a sua carreira foi construída
849079b5-58a9-4408-b5d9-528fed2b6ac7,tudo muito lindo
849079b5-58a9-4408-b5d9-528fed2b6ac7,melhor evento do csbc 💗💗💗💗💗
599e5dc6-fa67-4845-a44e-539c244937fc,que evento incrível
b787555f-cd18-4a0b-9e20-493282185ddd,relatos de experiência por mulheres são sempre mais tocantes
560003d3-5b59-481c-85d2-838ef984b466,muito importante para incentivar as mulheres na área da tecnologia
e6d477bf-b603-42a7-985e-ac84356103b9,que grande mulher a michelle é
e6d477bf-b603-42a7-985e-ac84356103b9,me sinto inspirada em ver como outras mulheres tiveram/têm o mesmo sentimento que eu
e6d477bf-b603-42a7-985e-ac84356103b9,"que elas chegaram lá, assim como quero chegar um dia também"
c01cfc13-c80c-4c86-872a-da81361b3339,amei a palestra de abertura
c01cfc13-c80c-4c86-872a-da81361b3339,muito inspirador ver de perto a história da doutora
8f5325ba-18dd-4ae4-b9e8-c669f82c4571,muito boa
c55ff755-bd00-4af8-b6ed-ed43007446b3,muito bacana as pulseirinhas de cada região do brasil
3ad87374-5d6b-41e4-a901-00435a3f8c6e,a palestra apresentada realmente foi inspiradora
3ad87374-5d6b-41e4-a901-00435a3f8c6e,de um valor surpreendente
