participante,comentário,dia
43aca24c-d788-497e-8521-06df728eeaf8,Ansioso pelo happy hour do Ifood!!!,10/11/2025 12:35
6f0f0539-7ade-42c4-ad57-bf537a52398f,A palestra de agentic AI trouxe uma visão prática e teórica do que há de mais novo nessa área. Excelente!,10/11/2025 15:39
87def42a-d6bf-427e-9393-52ea8a8a3eb8,Aprender sobre TV 3.0 foi incrível!,10/11/2025 20:27
9363135b-e453-473c-b545-588192e4d2df,"Gostaria do contato do rapaz que desenvolveu o aplicativo, respondi os questionários e não consegui fazer check in. E agora? Cadê a aba de suporte?",16/11/2025 08:52
