participante,comentário,dia
facff91a-bfcf-42e1-b783-2b24ea9c0bde,"A luz dos refletores está diretamente nos olhos , joga elas pra cima ",05/05/2026 20:34
8fc741e0-dc34-4efd-afd6-0e8b277a79fb,Disponibilização de canetas caso tenha algum questionário para responder.,05/05/2026 20:54
c18a11ea-a77f-4ea9-81ee-07dd7797fe38,"Parabéns ao cerimonialista, que voz linda!",06/05/2026 19:45
2e38dd8e-5c6d-4bd6-a7b3-031705fd77da,"Está tudo muito bacana, ótima palestra ",06/05/2026 20:57
ef513315-04b4-49b0-ae60-0cfd18608054,Ótima palestra!!!,06/05/2026 21:02
5aed82d7-2b97-4576-ac41-21f68ee60f40,Muito bom,06/05/2026 21:06
dd5c59bb-51d0-4376-8557-fa2705cedf12,"Ótima palestra, exemplo de superação e persistência",06/05/2026 21:08
42564166-a45f-4a5d-8fb4-64bb78de27a7,"Muito produtivo as palestras ",07/05/2026 20:19
