participante,comentário,dia
82ef0bfd-610b-4562-97b0-8175c2abd281,"Olá! 
Será que conseguimos abrir algum tipo de anuncio para juntarmos pessoas que gostaria de dividir um taxi/uber ate o aeroporto de BH ? 

Agradeço!",01/06/2026 19:24
c6825e19-2b5a-4a44-bde6-795d996a8eb4,A palestra de ontem do Professor Cristiano foi impecável. Desde o conteúdo excelente até a qualidade dos slides e desenvoltura na apresentação. A palestra foi muito útil para mim. 🤩,02/06/2026 08:20
e87b845e-c550-49e4-813f-034f3cbf3920,Que app maneiro!!,02/06/2026 08:25
9f715091-a842-4e78-bc23-8b4e76a970ee,"O evento está excelente! Animada para as próximas palestras e sessões técnicas! ",02/06/2026 08:26
eb8d16fd-273f-4692-a05b-0b0ace35d1f2,Apresentações  muito interessantes!,02/06/2026 08:46
2e1d0251-bc6d-4a92-9d96-ea15c9652624,Wow,02/06/2026 08:49
eeb0f1c9-4a96-4567-80ea-e6734dd15817,Muito bom e bem organizado,02/06/2026 09:00
e3355695-92b5-4839-85e1-a22d44c9c8d6,Muito bom,02/06/2026 09:06
d5592a98-b082-4768-aa50-2264085225ec,Excelente palestra,02/06/2026 09:12
8d05c61b-5329-4904-9b62-a6a9a3280591,"A palestra de ontem, ""IA Generativa, IoT e Interoperabilidade"", foi sensacional. O palestrante mostrou-se sensato, honesto e visionário, demonstrando de forma clara as necessidades e as soluções.",02/06/2026 09:20
e060a084-aed9-45f7-8364-7e617342b5ed,Muito legal os trabalhos apresentados hoje e ontem. Vou levar muitos aprendizados!,02/06/2026 09:36
83f927be-7d04-455d-9321-1f67915e2272,Excelente!,02/06/2026 09:36
43863717-c07a-443d-ac7b-d70ff5eec1d1,Boa,02/06/2026 09:40
43863717-c07a-443d-ac7b-d70ff5eec1d1,Boa,02/06/2026 09:40
96f7c948-a9c7-4e90-916b-1375be9f8409,Excelente palestra!,02/06/2026 09:56
7ef9d2f1-6c4b-40e5-942c-f8fbded95af1,Excelente!,02/06/2026 10:10
40ee5f2f-ff98-4154-9761-535320178aa6,Os Workshops estão com trabalhos interessantíssimos! Parabéns aos pesquisadores.,02/06/2026 10:30
1a4d6932-e27b-4691-b74b-6339fa2f1a12,"Muito rica de informações ",02/06/2026 10:42
c2535d84-63cd-4bd4-8ee2-ff7d5a4b0013,Muito legal o evento,02/06/2026 10:48
b57c6dbf-6663-4ede-a02e-fd59363faa45,Arrasaram na programação!,02/06/2026 10:50
a4f6a685-48cf-4b7f-9680-f01c70865e54,"Excelente organização do evento, além da qualidade dos temas.",02/06/2026 10:50
05a1bf64-f981-4935-af3d-04e8f7dad5da,"Palestra super importante ",02/06/2026 10:51
9def2325-a8ad-4e2c-9cbd-60ff1be4abcd,Uma referência em Medicina e suas aplicações em Computação.,02/06/2026 10:51
281382af-b54f-45f3-a9ea-0ddebe5c66ad,"Adorei o ""uai"" mineiro na SBCAS 2206",02/06/2026 10:53
72902faf-d7ed-4342-ba51-23d54a44245c,"Networking sempre executado com sucesso ",02/06/2026 10:57
e677ec0b-4e4b-4d63-adee-a50d446eb953,Evento muito bom! Um lugar pra alimentação próximo ao evento e a comida excelente foram diferenciais. Infraestrutura muito adequada também.,02/06/2026 11:02
9b8a41d3-8b73-4800-a7e9-236c37cab7dd,"Ótima palestra, com muitas informações relevantes.",02/06/2026 11:22
b7935f37-13f7-42c4-9796-318a90a68397,Evento bem organizado e mantendo horários das atividades sem atrasos.,02/06/2026 11:22
4640ad42-d1ee-4dc9-9d76-c194f7cbf6c2,"Palestra com tema muito relevante e muito bem apresentada! ",02/06/2026 11:24
