usuario,texto,entidade_mencionada
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Pressao
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Secom
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Valorant
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo",Etica
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,a nova interface,Interface
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Programacao
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Secom
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas,Mobi
37ec55d9-b848-47bd-9a33-f64afd2dd867,mto bom,Mto
5bc436a4-ec67-4216-87a7-d9152877d21f,adorei a palestra,Palestras
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,seria legal se tivesse uma aba pra ver todos os comentários  :(,Secom
e2b6d403-470e-4752-8767-48575bb10c67,seria bom ter a opção de ler todos os comentários,Opcao
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,",Secom
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,",Palestras
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,",Etica
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,",Curso
66333d64-e1a9-407d-b5ec-e97640fc0bfc,também pra sociedade,Pessoal
43aca24c-d788-497e-8521-06df728eeaf8,coffee break de respeito viu,Break
43aca24c-d788-497e-8521-06df728eeaf8,coffee break de respeito viu,Respeito
8b532002-32a9-47b8-a068-f68ebed037cd,o auditório tá meio frio,Auditorio
8b532002-32a9-47b8-a068-f68ebed037cd,o auditório tá meio frio,Frio
8b532002-32a9-47b8-a068-f68ebed037cd,"se pá, tlg",Secom
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,animado para a próxima palestra,Palestras
b843c3db-fc8f-45a6-8322-19b87391fa20,vamos manter o foco,Foco
b843c3db-fc8f-45a6-8322-19b87391fa20,"a ética sempre que utilizarmos ias, evitando sempre deixar que ela faça tudo por nós",Secom
b843c3db-fc8f-45a6-8322-19b87391fa20,"a ética sempre que utilizarmos ias, evitando sempre deixar que ela faça tudo por nós",Etica
2841ae4b-ef6a-4661-94a3-9777a70ec034,esse coffee break é covardia,Coffee
2841ae4b-ef6a-4661-94a3-9777a70ec034,esse coffee break é covardia,Break
2841ae4b-ef6a-4661-94a3-9777a70ec034,camisa legal,Camisa
45025e25-714c-447c-ad00-3f2880882d2b,as palestras tão boa,Palestras
45025e25-714c-447c-ad00-3f2880882d2b,esse coffe break é covardia,Coffe
45025e25-714c-447c-ad00-3f2880882d2b,alguém sabe qual o shampoo o nacif usa,Shampoo
45025e25-714c-447c-ad00-3f2880882d2b,alguém sabe qual o shampoo o nacif usa,Nacif
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação,Trabalho
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação,Areas
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação,Computacao
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação,Futuro
32724cee-7c33-4b98-a90c-4d0203f9d84a,"qual séria a próxima geração da ia , se a de hoje é a ia genérativa",Secom
9764ca16-8169-496a-86f2-8b5413a49083,gostei muito da organização do evento,Secom
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,adorei a organização da secom,Secom
66333d64-e1a9-407d-b5ec-e97640fc0bfc,o ar-condicionado está muito gelado,Ar-condicionado
667d742e-3fdf-457b-b63c-7a8befc9bee4,o coffee break tava muito bom,Coffee
667d742e-3fdf-457b-b63c-7a8befc9bee4,o coffee break tava muito bom,Break
c922b921-1305-4fe3-b76c-649887d97eb4,a palestra foi muito boa,Palestras
c922b921-1305-4fe3-b76c-649887d97eb4,deveriam ler mais perguntas,Perguntas
667d742e-3fdf-457b-b63c-7a8befc9bee4,animado para a palestra das 14 horas,Tarde
667d742e-3fdf-457b-b63c-7a8befc9bee4,animado para a palestra das 14 horas,Palestras
47cacf3f-e0f2-421b-a645-5e0efd6cc615,rapaziada muito linda do mymobiconf,Mymobconf
0b3e0f11-e393-4fb7-9c3b-1fa8ad9b3176,palestras mt boas,Palestras
