usuario,texto,entidade_mencionada
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,que energia maravilhosa na palestra do wit,Energia
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,que energia maravilhosa na palestra do wit,Palestra
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,sair desse espaço me fez lembrar por que escolhi estar na tecnologia,Organizacao
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,sair desse espaço me fez lembrar por que escolhi estar na tecnologia,Tecnologia
adec314d-1120-4e55-985a-8bdbbf48be55,"gurias na computação, presente",Computacao
adec314d-1120-4e55-985a-8bdbbf48be55,"gurias na computação, presente",Organizacao
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,participar do wit é uma experiência enriquecedora,Experiencia
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios",Mulheres
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios",Desafios
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios",Trajetoria
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios",Organizacao
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,conquistas na área da tecnologia,Area
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,conquistas na área da tecnologia,Tecnologia
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,conquistas na área da tecnologia,Sucessos
1bfbf56f-28e4-4dee-874f-83823030bda3,"segunda edição que participo do wit,",Engie
1bfbf56f-28e4-4dee-874f-83823030bda3,"segunda edição que participo do wit,",Inclusao
1bfbf56f-28e4-4dee-874f-83823030bda3,"como na edição passada, o evento está lindo",Engie
1bfbf56f-28e4-4dee-874f-83823030bda3,as mulheres que fazem isso acontecer são uma grande inspiração para mim,Mulheres
1bfbf56f-28e4-4dee-874f-83823030bda3,as mulheres que fazem isso acontecer são uma grande inspiração para mim,Inspiracao
6e490da9-d604-49fa-b782-7cc09c1615d3,esse evento é extremamente importante para que mulheres de tecnologias se vejam representadas,Mulheres
6e490da9-d604-49fa-b782-7cc09c1615d3,esse evento é extremamente importante para que mulheres de tecnologias se vejam representadas,Tecnologia
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais,Mulheres
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais,Projetos
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais,Organizacao
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais,Grupo
6e490da9-d604-49fa-b782-7cc09c1615d3,muito significado estar num evento que valoriza mulheres na tecnologia,Fato
